od_1,od_2,od_3,od_4,od_5,od_6,od_7,od_8,od_9,od_10,od_id,mb_id,od_name,od_email,od_tel,od_hp,od_zip1,od_zip2,od_addr1,od_addr2,od_addr3,od_addr_jibeon,od_deposit_name,od_b_name,od_b_tel,od_b_hp,od_b_zip1,od_b_zip2,od_b_addr1,od_b_addr2,od_b_addr3,od_b_addr_jibeon,od_memo,od_cart_count,od_cart_price,od_cart_coupon,od_send_cost,od_send_cost2,od_send_coupon,od_receipt_price,od_cancel_price,od_receipt_point,od_refund_price,od_bank_account,od_receipt_time,od_coupon,od_misu,od_shop_memo,od_mod_history,od_status,od_hope_date,od_settle_case,od_other_pay_type,od_test,od_mobile,od_pg,od_tno,od_app_no,od_escrow,od_casseqno,od_tax_flag,od_tax_mny,od_vat_mny,od_free_mny,od_delivery_company,od_invoice,od_invoice_time,od_cash,od_cash_no,od_cash_info,od_time,od_pwd,od_ip
,,,,,,,,,,2025121616541085,baraem,배지은,admin@domain.com,00909,01099,32,,sdsdf,sdss,,,,최고관리자,00909,01099,32,,sdsdf,sdss,,,,1,0,0,4000,0,0,22000,0,0,0,,2025-11-27 10:18:35,0,0,,,입금,None,신용카드,NHNKCP_KAKAOMONEY,1,0,kcp,25980012941092,,0,,0,3636,364,0,0,,None,0,,,2025-11-27 10:18:22,sha256:12000:FiyZldzmVJPhzYxypeVu2qOwQFr1UsAP:ZlwjGKvzK/JiXTTGhvWGwjvuNAMsvojz,172.18.0.3
10000,,1990. 01. 01,,졸업생,,,,,개인기부,2025121812101715,baraem,황민석,admin@domain.com,010-1234-5678,010-1234-5678,32,,sdsdf,sdss,,,,최고관리자,010-1234-5678,010-1234-5678,32,,sdsdf,sdss,,,,1,10000,0,0,0,0,45000,0,0,0,삼성카드,2025-11-28 14:25:45,0,0,,,입금,None,신용카드,,1,0,kcp,25982013228400,70116033,0,,0,9091,909,0,0,,None,0,,,2025-11-28 14:25:33,sha256:12000:FiyZldzmVJPhzYxypeVu2qOwQFr1UsAP:ZlwjGKvzK/JiXTTGhvWGwjvuNAMsvojz,172.18.0.3
100000,(주)창원기업,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,123-45-67890,법인기부,2025122312211501,baraem,류태영,honggildong@gmail.com,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,,홍길동,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,100000,0,0,0,0,180000,0,0,0,삼성카드,2025-12-02 10:19:08,0,0,,,입금,None,신용카드,,1,0,kcp,25607013694270,06573543,0,,0,90909,9091,0,0,,None,0,,,2025-12-02 10:18:52,sha256:12000:FiyZldzmVJPhzYxypeVu2qOwQFr1UsAP:ZlwjGKvzK/JiXTTGhvWGwjvuNAMsvojz,172.18.0.3
100000,(주)창원기업,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,123-45-67890,법인기부,2025122312415570,baraem,신혜진,honggildong@gmail.com,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,,홍길동,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,100000,0,0,0,0,55000,0,0,0,삼성카드,2025-12-03 15:33:35,0,0,,,입금,None,신용카드,,1,0,kcp,25607013694784,14065554,0,,0,90909,9091,0,0,,None,0,,,2025-12-03 15:33:21,sha256:12000:FiyZldzmVJPhzYxypeVu2qOwQFr1UsAP:ZlwjGKvzK/JiXTTGhvWGwjvuNAMsvojz,172.18.0.3
100000,(주)창원기업,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,123-45-67890,법인기부,2025122411164478,baraem,오진수,honggildong@gmail.com,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,오진수,홍길동,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,100000,0,0,0,0,0,0,0,0,OO은행 12345-67-89012 예금주명,None,0,90000,,,주문,None,무통장,,1,0,kcp,,,0,,0,90909,9091,0,0,,None,0,,,2025-12-04 13:20:47,sha256:12000:FiyZldzmVJPhzYxypeVu2qOwQFr1UsAP:ZlwjGKvzK/JiXTTGhvWGwjvuNAMsvojz,172.18.0.3
100000,(주)창원기업,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,123-45-67890,법인기부,2025122415552448,baraem,송미라,honggildong@gmail.com,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,송미라,홍길동,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,100000,0,0,0,0,0,0,0,0,OO은행 12345-67-89012 예금주명,None,0,35000,,,주문,None,무통장,,1,0,kcp,,,0,,0,90909,9091,0,0,,None,0,,,2025-12-05 11:45:18,sha256:12000:KtrL3SG2jtDU5Lm7ix7WH0jJsfTxzD3I:ik3jCds/tZmuuQVHQVIKY6dVHoS97eh9,112.217.175.210
100000,(주)창원기업,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,123-45-67890,법인기부,2025122609455297,baraem,임현우,honggildong@gmail.com,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,임현우,홍길동,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,100000,0,0,0,0,0,0,0,0,OO은행 12345-67-89012 예금주명,None,0,60000,,,주문,None,무통장,,1,0,kcp,,,0,,0,90909,9091,0,0,,None,0,,,2025-12-06 16:10:35,sha256:12000:KtrL3SG2jtDU5Lm7ix7WH0jJsfTxzD3I:ik3jCds/tZmuuQVHQVIKY6dVHoS97eh9,112.217.175.210
100000,(주)창원기업,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,123-45-67890,법인기부,2025122614283266,nsu07001,조성민,honggildong@gmail.com,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,(제덕동),R,조성민,홍길동,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,(제덕동),R,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,100000,0,0,0,0,0,100000,0,0,OO은행 12345-67-89012 예금주명,None,0,0,
주문자 본인 직접 취소 - 2025-12-26 14:29:53 (취소이유 : ㄷㄷㄷ),,취소,None,무통장,,1,0,kcp,,,0,,0,90909,9091,0,0,,None,0,,,2025-12-07 09:22:11,sha256:12000:ujwbRKlzX9x5Zf7S1iicd1li0A9H5kno:ajFEw3PbERsaqfF9GH2/ydEpCaUzaqwx,112.217.175.210
100000,,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,,개인기부,2025122614500942,nsu07001,윤지혜,honggildong@gmail.com,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,(제덕동),R,윤지혜,홍길동,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,(제덕동),R,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,100000,0,0,0,0,0,0,0,0,OO은행 12345-67-89012 예금주명,None,0,45000,,,주문,None,무통장,,1,0,kcp,,,0,,0,90909,9091,0,0,,None,0,,,2025-12-08 14:38:22,sha256:12000:ujwbRKlzX9x5Zf7S1iicd1li0A9H5kno:ajFEw3PbERsaqfF9GH2/ydEpCaUzaqwx,112.217.175.210
